Transaction Date,Description,Amount,Currency,Balance After Transaction,Account Type,Account Name,Institution,Card Last 4,Transaction Type,Merchant Name,Merchant Country,Is Recurring
2025-10-27,Salary - Employer Ltd.,18500.0,ILS,33500.0,checking,Main Checking,Hapoalim (mock),1023,salary,,,True
2025-10-28,Transfer from Checking,2500.0,ILS,12500.0,savings,Savings,Hapoalim (mock),7781,transfer_in,,,True
2025-10-28,WALGREENS #2456,-107.02,ILS,-107.02,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,WALGREENS #2456,IL,False
2025-10-28,Transfer to Savings,-2500.0,ILS,31000.0,checking,Main Checking,Hapoalim (mock),1023,transfer_out,,,True
2025-10-28,OFFICE DEPOT #3867,-124.56,ILS,-231.58,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,OFFICE DEPOT #3867,IL,False
2025-10-30,STARBUCKS COFFEE #1234,-32.50,ILS,-264.08,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,STARBUCKS COFFEE,IL,False
2025-10-30,IKEA ONLINE CENTER,-958.39,ILS,-1222.47,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,IKEA ONLINE CENTER,IL,False
2025-10-31,NESPRESSO CAFE,-28.75,ILS,-1251.22,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,NESPRESSO CAFE,IL,False
2025-11-02,Rent - Apartment,-6200.0,ILS,24800.0,checking,Main Checking,Hapoalim (mock),1023,bill_payment,,,True
2025-11-02,Government License,-94.97,ILS,-1346.19,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,LICENSING #8843 - CANADA,IL,False
2025-11-02,Phone Company,-29.41,ILS,-1375.6,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,PHONE COMPANY,IL,False
2025-11-03,Netflix,-38.22,ILS,-1413.82,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,Netflix,US,False
2025-11-03,CAFE AROMA,-35.20,ILS,-1449.02,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,CAFE AROMA,IL,False
2025-11-05,ATM cash withdrawal,-612.65,ILS,24187.35,checking,Main Checking,Hapoalim (mock),1023,atm_withdrawal,,,False
2025-11-06,Netflix.com,-55.9,ILS,-1504.92,credit_card,MAX Platinum,MAX (mock),4420,subscription,Netflix,US,True
2025-11-06,STARBUCKS COFFEE #4567,-31.85,ILS,-1536.77,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,STARBUCKS COFFEE,IL,False
2025-11-06,Taxi Ride,-256.25,ILS,-1793.02,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,TAXI - USA,IL,False
2025-11-08,COFFEE BEANS SHOP,-29.50,ILS,-1822.52,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,COFFEE BEANS SHOP,IL,False
2025-11-09,Electric Company - direct debit,-420.5,ILS,23766.85,checking,Main Checking,Hapoalim (mock),1023,bill_payment,Electric Company,IL,True
2025-11-09,Walgreens,-171.15,ILS,-1993.67,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,WALGREENS #2456,IL,False
2025-11-09,CAFE ITALIA,-33.75,ILS,-2027.42,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,CAFE ITALIA,IL,False
2025-11-09,Chipotle,-102.27,ILS,-2129.69,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,CHIPOTLE,IL,False
2025-11-11,Amazon,-652.94,ILS,-2782.63,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,Amazon,US,False
2025-11-11,NESPRESSO CAFE,-27.30,ILS,-2809.93,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,NESPRESSO CAFE,IL,False
2025-11-12,Taxi Ride,-172.36,ILS,-2982.29,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,TAXI - USA,IL,False
2025-11-12,WINDSTREAM - internet,-119.9,ILS,23646.95,checking,Main Checking,Hapoalim (mock),1023,bill_payment,WINDSTREAM,IL,True
2025-11-12,STARBUCKS COFFEE #2890,-32.10,ILS,-3014.39,credit_card,MAX Platinum,MAX (mock),4420,card_purchase,STARBUCKS COFFEE,IL,False
